layers,nodes,MSE,Number of Epochs
1,1,0.05,0.005561758142657055,4
1,1,0.06,0.00606032654701588,4
1,1,0.07,0.005695064265672658,3
1,1,0.08,0.0056847051319535,4
1,1,0.09,0.005331001124291382,4
1,1,0.1,0.005477303921731282,4
1,1,0.125,0.005197949154052924,3
1,1,0.15,0.005055634965907875,3
1,1,0.175,0.005326641826542771,3
1,1,0.2,0.00514239445881444,3
1,1,0.25,0.005070771397231259,3
1,1,0.3,0.004978279319412695,3
1,1,0.35,0.0049496180385055965,3
1,1,0.4,0.004708425372468081,3
1,2,0.05,0.005557217068413211,3
1,2,0.06,0.005404798757446961,3
1,2,0.07,0.0054452507874432525,4
1,2,0.08,0.0057332172987192166,3
1,2,0.09,0.005326044530600042,3
1,2,0.1,0.005846565873312277,3
1,2,0.125,0.005389508491828047,3
1,2,0.15,0.005204259135515316,3
1,2,0.175,0.005254570903568959,3
1,2,0.2,0.005200484783324115,3
1,2,0.25,0.00489169904106031,3
1,2,0.3,0.004699753813039521,3
1,2,0.35,0.004895003228322308,3
1,2,0.4,0.004719590300084535,3
1,3,0.05,0.0061828955797396876,4
1,3,0.06,0.005764969376734109,3
1,3,0.07,0.005566793672428678,3
1,3,0.08,0.005360149883324099,3
1,3,0.09,0.005724355668949931,3
1,3,0.1,0.005695336174555064,3
1,3,0.125,0.0053962512919100425,3
1,3,0.15,0.005136206445334999,3
1,3,0.175,0.0051768131763802955,3
1,3,0.2,0.005483115326539383,3
1,3,0.25,0.004890601504600519,3
1,3,0.3,0.004892625075641786,3
1,3,0.35,0.0048346012606104135,3
1,3,0.4,0.004681058944918817,3
1,4,0.05,0.005901714910377455,4
1,4,0.06,0.005599745380085506,3
1,4,0.07,0.0058367250523628355,3
1,4,0.08,0.005623001204712737,3
1,4,0.09,0.005753164443527335,3
1,4,0.1,0.005088846802938046,3
1,4,0.125,0.005708312059563549,3
1,4,0.15,0.005517033725813818,3
1,4,0.175,0.005056783443316656,3
1,4,0.2,0.005312045056201474,3
1,4,0.25,0.005086034906561212,3
1,4,0.3,0.0050614683746589536,3
1,4,0.35,0.004791159748502695,3
1,4,0.4,0.004850154096927643,3
1,5,0.05,0.006049569729613159,3
1,5,0.06,0.005968734190830812,3
1,5,0.07,0.005604293972061811,3
1,5,0.08,0.00537411289136678,3
1,5,0.09,0.005794356142792037,3
1,5,0.1,0.005977062673218071,3
1,5,0.125,0.005432088058139583,3
1,5,0.15,0.005354880498370578,3
1,5,0.175,0.00521456630892784,3
1,5,0.2,0.005032851126917742,3
1,5,0.25,0.005154618710890364,3
1,5,0.3,0.0047735384646556325,3
1,5,0.35,0.004784513676031314,3
1,5,0.4,0.00454289001745615,3
1,6,0.05,0.00628970519273583,3
1,6,0.06,0.005724291800151808,3
1,6,0.07,0.006251859133486676,3
1,6,0.08,0.0055195655065255166,3
1,6,0.09,0.005193192380266933,3
1,6,0.1,0.005520597040844253,3
1,6,0.125,0.005722879242956834,3
1,6,0.15,0.005244232623226708,3
1,6,0.175,0.005095492170048551,3
1,6,0.2,0.005260858247919267,3
1,6,0.25,0.005200915152900605,3
1,6,0.3,0.0048724249212963875,3
1,6,0.35,0.004606676794688379,3
1,6,0.4,0.00448113373259524,3
1,7,0.05,0.007273441316619083,4
1,7,0.06,0.005701028899314109,3
1,7,0.07,0.005899594999908968,3
1,7,0.08,0.0054351178469558125,3
1,7,0.09,0.005746224278592805,3
1,7,0.1,0.006090446767448358,3
1,7,0.125,0.005259830132717728,3
1,7,0.15,0.005104230408139015,3
1,7,0.175,0.005737632716793177,3
1,7,0.2,0.005078252360749879,3
1,7,0.25,0.004771803145518607,3
1,7,0.3,0.004968472916405929,3
1,7,0.35,0.004815198351944718,3
1,7,0.4,0.0047995475792783175,3
1,8,0.05,0.005538029768330142,5
1,8,0.06,0.005131814519237844,3
1,8,0.07,0.006523520289876052,3
1,8,0.08,0.006224368081021461,3
1,8,0.09,0.005827339779320611,3
1,8,0.1,0.005290278234190722,3
1,8,0.125,0.006148265249810428,3
1,8,0.15,0.005776288683606776,3
1,8,0.175,0.005281334520896555,3
1,8,0.2,0.005154869981599394,3
1,8,0.25,0.0047724336759353385,3
1,8,0.3,0.004440512292844863,3
1,8,0.35,0.004751758072581943,3
1,8,0.4,0.004930069198651343,3
1,9,0.05,0.0060303761335856795,3
1,9,0.06,0.006127485707472979,3
1,9,0.07,0.006162216447707643,3
1,9,0.08,0.005578055181284886,3
1,9,0.09,0.005244521027373328,4
1,9,0.1,0.006167534663004592,3
1,9,0.125,0.006193153560442981,3
1,9,0.15,0.005126472655495827,3
1,9,0.175,0.005131140433099746,3
1,9,0.2,0.004850282890683404,3
1,9,0.25,0.005089859051657799,3
1,9,0.3,0.004854947642338152,3
1,9,0.35,0.004624273005711125,3
1,9,0.4,0.004608582873611315,3
1,10,0.05,0.006089405985086004,3
1,10,0.06,0.005772788243201283,3
1,10,0.07,0.0059050099093662205,3
